X--Trace 1::[V(4) | V(PR1)],Y--Trace 1::[V(4) | V(PR1)]
50,1.000009208
51.16464961,1.000009803
52.3564274,1.000010426
53.57596526,1.000011078
54.82390981,1.000011761
56.10092272,1.000012476
57.40768107,1.000013225
58.74487775,1.000014009
60.11322173,1.000014831
61.51343854,1.00001569
62.94627059,1.000016591
64.41247758,1.000017534
65.91283693,1.000018521
67.44814413,1.000019555
69.01921323,1.000020637
70.62687723,1.000021771
72.27198854,1.000022957
73.95541941,1.0000242
75.67806242,1.000025502
77.44083095,1.000026864
79.24465962,1.000028291
81.09050487,1.000029786
82.97934537,1.00003135
84.91218262,1.000032989
86.89004144,1.000034704
88.9139705,1.000036501
90.98504293,1.000038382
93.10435683,1.000040351
95.2730359,1.000042414
97.49222999,1.000044574
99.76311575,1.000046835
102.0868972,1.000049203
104.4648065,1.000051683
106.8981045,1.00005428
109.3880812,1.000056999
111.9360569,1.000059846
114.5433826,1.000062827
117.2114408,1.000065949
119.941646,1.000069218
122.7354458,1.000072641
125.5943216,1.000076225
128.5197891,1.000079978
131.5133996,1.000083908
134.5767402,1.000088023
137.7114352,1.000092332
140.9191466,1.000096844
144.2015752,1.000101569
147.5604613,1.000106517
150.997586,1.000111697
154.5147716,1.000117122
158.113883,1.000122802
161.7968285,1.00012875
165.5655607,1.000134978
169.4220781,1.0001415
173.3684252,1.000148329
177.4066946,1.00015548
181.5390274,1.000162968
185.7676145,1.000170809
190.0946982,1.000179019
194.5225725,1.000187616
199.0535853,1.000196618
203.6901389,1.000206044
208.4346917,1.000215915
213.2897594,1.00022625
218.2579161,1.000237073
223.3417961,1.000248405
228.5440948,1.000260272
233.8675706,1.000272697
239.3150462,1.000285708
244.8894097,1.000299332
250.5936168,1.000313598
256.430692,1.000328536
262.4037301,1.000344177
268.5158982,1.000360556
274.7704369,1.000377706
281.1706626,1.000395664
287.7199687,1.000414469
294.4218277,1.000434159
301.279793,1.000454776
308.2975009,1.000476365
315.4786722,1.000498971
