X--Trace 1::[V(9) | V(PR1)],Y--Trace 1::[V(9) | V(PR1)]
1,0.9999851679
1.023292992,0.9999851671
1.047128548,0.9999851662
1.071519305,0.9999851652
1.096478196,0.9999851642
1.122018454,0.9999851632
1.148153621,0.9999851621
1.174897555,0.9999851609
1.202264435,0.9999851597
1.230268771,0.9999851585
1.258925412,0.9999851572
1.288249552,0.9999851558
1.318256739,0.9999851543
1.348962883,0.9999851528
1.380384265,0.9999851513
1.412537545,0.9999851496
1.445439771,0.9999851479
1.479108388,0.9999851461
1.513561248,0.9999851442
1.548816619,0.9999851422
1.584893192,0.9999851401
1.621810097,0.9999851379
1.659586907,0.9999851356
1.698243652,0.9999851332
1.737800829,0.9999851307
1.77827941,0.9999851281
1.819700859,0.9999851254
1.862087137,0.9999851225
1.905460718,0.9999851195
1.9498446,0.9999851163
1.995262315,0.999985113
2.041737945,0.9999851096
2.089296131,0.999985106
2.13796209,0.9999851022
2.187761624,0.9999850982
2.238721139,0.999985094
2.290867653,0.9999850897
2.344228815,0.9999850851
2.398832919,0.9999850804
2.454708916,0.9999850754
2.511886432,0.9999850701
2.570395783,0.9999850647
2.630267992,0.9999850589
2.691534804,0.9999850529
2.754228703,0.9999850466
2.818382931,0.9999850401
2.884031503,0.9999850332
2.951209227,0.9999850259
3.01995172,0.9999850184
3.090295433,0.9999850105
3.16227766,0.9999850022
3.235936569,0.9999849935
3.311311215,0.9999849844
3.388441561,0.9999849749
3.467368505,0.9999849649
3.548133892,0.9999849545
3.630780548,0.9999849436
3.715352291,0.9999849321
3.801893963,0.9999849201
3.89045145,0.9999849076
3.981071706,0.9999848944
4.073802778,0.9999848807
4.168693835,0.9999848663
4.265795188,0.9999848512
4.365158322,0.9999848354
4.466835922,0.9999848189
4.570881896,0.9999848015
4.677351413,0.9999847834
4.786300923,0.9999847644
4.897788194,0.9999847445
5.011872336,0.9999847237
5.12861384,0.9999847019
5.248074602,0.9999846791
5.370317964,0.9999846552
5.495408739,0.9999846301
5.623413252,0.9999846039
5.754399373,0.9999845765
5.888436554,0.9999845477
6.025595861,0.9999845176
6.165950019,0.9999844861
6.309573445,0.9999844531
6.45654229,0.9999844186
6.60693448,0.9999843824
6.760829754,0.9999843445
6.918309709,0.9999843048
7.079457844,0.9999842633
7.244359601,0.9999842198
7.413102413,0.9999841742
7.58577575,0.9999841265
7.762471166,0.9999840766
7.943282347,0.9999840242
8.128305162,0.9999839695
8.317637711,0.9999839121
8.511380382,0.9999838521
8.7096359,0.9999837892
8.912509381,0.9999837234
9.120108394,0.9999836544
9.332543008,0.9999835822
9.54992586,0.9999835066
9.77237221,0.9999834274
10,0.9999833445
10.23292992,0.9999832577
10.47128548,0.9999831669
10.71519305,0.9999830717
10.96478196,0.999982972
11.22018454,0.9999828677
11.48153621,0.9999827584
11.74897555,0.999982644
12.02264435,0.9999825241
12.30268771,0.9999823987
12.58925412,0.9999822673
12.88249552,0.9999821297
13.18256739,0.9999819857
13.48962883,0.9999818348
13.80384265,0.9999816769
14.12537545,0.9999815115
14.45439771,0.9999813383
14.79108388,0.9999811569
15.13561248,0.9999809671
15.48816619,0.9999807682
15.84893192,0.99998056
16.21810097,0.999980342
16.59586907,0.9999801137
16.98243652,0.9999798746
17.37800829,0.9999796243
17.7827941,0.9999793621
18.19700859,0.9999790876
18.62087137,0.9999788002
19.05460718,0.9999784993
19.498446,0.9999781841
19.95262315,0.9999778541
20.41737945,0.9999775086
20.89296131,0.9999771467
21.3796209,0.9999767678
21.87761624,0.9999763711
22.38721139,0.9999759557
22.90867653,0.9999755207
23.44228815,0.9999750651
23.98832919,0.9999745882
24.54708916,0.9999740887
25.11886432,0.9999735657
25.70395783,0.999973018
26.30267992,0.9999724446
26.91534804,0.9999718441
27.54228703,0.9999712153
28.18382931,0.9999705569
28.84031503,0.9999698675
29.51209227,0.9999691456
30.1995172,0.9999683896
30.90295433,0.9999675981
31.6227766,0.9999667692
32.35936569,0.9999659013
33.11311215,0.9999649925
33.88441561,0.9999640408
34.67368505,0.9999630443
35.48133892,0.9999620009
36.30780548,0.9999609083
37.15352291,0.9999597642
38.01893963,0.9999585662
38.9045145,0.9999573117
39.81071706,0.9999559981
40.73802778,0.9999546226
41.68693835,0.9999531823
42.65795188,0.9999516742
43.65158322,0.999950095
44.66835922,0.9999484414
45.70881896,0.9999467098
46.77351413,0.9999448967
47.86300923,0.9999429981
48.97788194,0.9999410101
50.11872336,0.9999389285
51.2861384,0.9999367487
52.48074602,0.9999344663
53.70317964,0.9999320763
54.95408739,0.9999295737
56.23413252,0.9999269532
57.54399373,0.9999242092
58.88436554,0.999921336
60.25595861,0.9999183275
61.65950019,0.9999151771
63.09573445,0.9999118784
64.5654229,0.9999084243
66.0693448,0.9999048075
67.60829754,0.9999010203
69.18309709,0.9998970547
70.79457844,0.9998929024
72.44359601,0.9998885544
74.13102413,0.9998840017
75.8577575,0.9998792345
77.62471166,0.9998742428
79.43282347,0.999869016
81.28305162,0.999863543
83.17637711,0.9998578123
85.11380382,0.9998518118
87.096359,0.9998455286
89.12509381,0.9998389496
91.20108394,0.9998320609
93.32543008,0.9998248477
