X--Trace 1::[V(9) | V(PR1)],Y--Trace 1::[V(9) | V(PR1)]
1,-0.01625368693
1.023292992,-0.01663228393
1.047128548,-0.01701969958
1.071519305,-0.01741613929
1.096478196,-0.01782181328
1.122018454,-0.01823693662
1.148153621,-0.01866172943
1.174897555,-0.01909641693
1.202264435,-0.01954122961
1.230268771,-0.0199964033
1.258925412,-0.02046217935
1.288249552,-0.02093880471
1.318256739,-0.0214265321
1.348962883,-0.02192562012
1.380384265,-0.0224363334
1.412537545,-0.02295894271
1.445439771,-0.02349372515
1.479108388,-0.02404096428
1.513561248,-0.02460095024
1.548816619,-0.02517397994
1.584893192,-0.02576035722
1.621810097,-0.02636039298
1.659586907,-0.02697440536
1.698243652,-0.02760271993
1.737800829,-0.02824566981
1.77827941,-0.02890359592
1.819700859,-0.0295768471
1.862087137,-0.0302657803
1.905460718,-0.03097076082
1.9498446,-0.03169216243
1.995262315,-0.03243036764
2.041737945,-0.03318576786
2.089296131,-0.0339587636
2.13796209,-0.03474976472
2.187761624,-0.03555919061
2.238721139,-0.03638747044
2.290867653,-0.03723504339
2.344228815,-0.03810235883
2.398832919,-0.03898987664
2.454708916,-0.03989806738
2.511886432,-0.04082741259
2.570395783,-0.04177840502
2.630267992,-0.0427515489
2.691534804,-0.04374736019
2.754228703,-0.0447663669
2.818382931,-0.0458091093
2.884031503,-0.04687614028
2.951209227,-0.04796802559
3.01995172,-0.04908534415
3.090295433,-0.05022868839
3.16227766,-0.05139866451
3.235936569,-0.05259589286
3.311311215,-0.0538210082
3.388441561,-0.05507466013
3.467368505,-0.05635751333
3.548133892,-0.05767024799
3.630780548,-0.05901356013
3.715352291,-0.060388162
3.801893963,-0.06179478242
3.89045145,-0.0632341672
3.981071706,-0.06470707951
4.073802778,-0.06621430031
4.168693835,-0.06775662874
4.265795188,-0.06933488256
4.365158322,-0.07094989858
4.466835922,-0.0726025331
4.570881896,-0.07429366235
4.677351413,-0.07602418299
4.786300923,-0.07779501256
4.897788194,-0.07960708996
5.011872336,-0.08146137598
5.12861384,-0.08335885378
5.248074602,-0.08530052942
5.370317964,-0.08728743238
5.495408739,-0.08932061615
5.623413252,-0.09140115872
5.754399373,-0.09353016322
5.888436554,-0.09570875847
6.025595861,-0.09793809957
6.165950019,-0.1002193685
6.309573445,-0.1025537749
6.45654229,-0.1049425564
6.60693448,-0.1073869795
6.760829754,-0.1098883404
6.918309709,-0.1124479652
7.079457844,-0.1150672111
7.244359601,-0.1177474668
7.413102413,-0.1204901534
7.58577575,-0.1232967251
7.762471166,-0.1261686699
7.943282347,-0.1291075106
8.128305162,-0.1321148052
8.317637711,-0.1351921484
8.511380382,-0.1383411716
8.7096359,-0.1415635446
8.912509381,-0.1448609758
9.120108394,-0.1482352135
9.332543008,-0.1516880468
9.54992586,-0.1552213062
9.77237221,-0.1588368652
10,-0.1625366407
10.23292992,-0.1663225942
