#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,50.0,2.0000,-0.03,-1.03
2,53.6,2.0000,-0.03,-1.13
3,57.4,2.0000,-0.03,-1.16
4,61.5,2.0000,-0.04,-1.21
5,65.9,2.0000,-0.03,-1.25
6,70.6,2.0000,-0.04,-1.37
7,75.7,2.0000,-0.05,-1.37
8,81.1,2.0000,-0.06,-1.47
9,86.9,2.0000,-0.03,-1.55
10,93.1,2.0000,-0.05,-1.60
11,99.8,2.0000,-0.05,-1.71
12,106.9,2.0000,-0.04,-1.82
13,114.5,2.0000,-0.06,-1.89
14,122.7,2.0000,-0.04,-2.04
15,131.5,2.0000,-0.04,-2.18
16,140.9,2.0000,-0.05,-2.33
17,151.0,2.0000,-0.04,-2.52
18,161.8,2.0000,-0.03,-2.62
19,173.4,2.0000,-0.04,-2.86
20,185.8,2.0000,-0.04,-3.04
21,199.1,2.0000,-0.03,-3.30
22,213.3,2.0000,-0.05,-3.56
23,228.5,2.0000,-0.03,-3.79
24,244.9,2.0000,-0.04,-4.10
25,262.4,2.0000,-0.04,-4.35
26,281.2,2.0000,-0.04,-4.68
27,301.3,2.0000,-0.04,-5.04
28,322.8,2.0000,-0.04,-5.38
29,345.9,2.0000,-0.04,-5.79
30,370.7,2.0000,-0.06,-6.19
31,397.2,2.0000,-0.06,-6.61
32,425.6,2.0000,-0.06,-7.11
33,456.0,2.0000,-0.06,-7.62
34,488.6,2.0000,-0.08,-8.18
35,523.6,2.0000,-0.08,-8.75
36,561.0,2.0000,-0.08,-9.34
37,601.1,2.0000,-0.09,-10.01
38,644.1,2.0000,-0.10,-10.76
39,690.2,2.0000,-0.12,-11.50
40,739.6,2.0000,-0.13,-12.32
41,792.4,2.0000,-0.16,-13.13
42,849.1,2.0000,-0.18,-14.08
43,909.9,2.0000,-0.18,-15.05
44,974.9,2.0000,-0.21,-16.09
45,1044.6,2.0000,-0.23,-17.23
46,1119.4,2.0000,-0.27,-18.42
47,1199.4,2.0000,-0.32,-19.65
48,1285.2,2.0000,-0.33,-21.01
49,1377.1,2.0000,-0.39,-22.44
50,1475.6,2.0000,-0.44,-23.93
51,1581.1,2.0000,-0.50,-25.48
52,1694.2,2.0000,-0.55,-27.14
53,1815.4,2.0000,-0.63,-28.92
54,1945.2,2.0000,-0.70,-30.81
55,2084.3,2.0000,-0.78,-32.74
56,2233.4,2.0000,-0.87,-34.82
57,2393.2,2.0000,-0.99,-36.93
58,2564.3,2.0000,-1.07,-39.16
59,2747.7,2.0000,-1.22,-41.47
60,2944.2,2.0000,-1.34,-43.87
61,3154.8,2.0000,-1.45,-46.34
62,3380.4,2.0000,-1.59,-48.97
63,3622.2,2.0000,-1.73,-51.71
64,3881.2,2.0000,-1.87,-54.47
65,4158.8,2.0000,-1.97,-57.46
66,4456.3,2.0000,-2.09,-60.50
67,4775.0,2.0000,-2.20,-63.70
68,5116.5,2.0000,-2.28,-67.14
69,5482.4,2.0000,-2.32,-70.78
70,5874.5,2.0000,-2.35,-74.72
71,6294.6,2.0000,-2.29,-79.13
72,6744.8,2.0000,-2.18,-84.13
73,7227.2,2.0000,-1.97,-90.14
74,7744.1,2.0000,-1.70,-97.37
75,8297.9,2.0000,-1.33,-106.71
76,8891.4,2.0000,-1.01,-118.93
77,9527.3,2.0000,-0.91,-134.75
78,10208.7,2.0000,-1.41,-153.43
79,10938.8,2.0000,-2.73,187.50
80,11721.1,2.0000,-4.74,170.96
81,12559.4,2.0000,-7.14,157.79
82,13457.7,2.0000,-9.69,147.76
83,14420.2,2.0000,-12.19,140.15
84,15451.5,2.0000,-14.59,134.20
85,16556.6,2.0000,-16.95,129.45
86,17740.7,2.0000,-19.18,125.62
87,19009.5,2.0000,-21.43,122.40
88,20369.0,2.0000,-23.56,119.63
89,21825.8,2.0000,-25.67,117.39
90,23386.8,2.0000,-27.71,115.36
91,25059.4,2.0000,-29.68,113.52
92,26851.6,2.0000,-31.69,111.91
93,28772.0,2.0000,-33.66,110.59
94,30829.8,2.0000,-35.61,109.28
95,33034.7,2.0000,-37.52,108.08
96,35397.3,2.0000,-39.42,106.98
97,37928.9,2.0000,-41.31,105.97
98,40641.5,2.0000,-43.24,105.03
99,43548.2,2.0000,-45.12,104.08
100,46662.7,2.0000,-46.94,103.24
101,50000.0,2.0000,-48.83,102.35
